44464,睾丸炎,7c6885a0-90a2-11e8-bbc9-44a8420c5800,N45.906,睾丸炎
40288,龟头炎,7c69f430-90a2-11e8-bbc9-44a8420c5800,N48.102,龟头炎
2a8e606a-31e2-11e6-804e-848f69fd6b70,乳腺炎,7c7dbf2f-90a2-11e8-bbc9-44a8420c5800,N61.x04,乳腺炎
2b5c73ac-31e2-11e6-804e-848f69fd6b70,乳房结节,7c7ee7e7-90a2-11e8-bbc9-44a8420c5800,N63.x01,乳房结节
39586,膀胱外翻,7cc62508-90a2-11e8-bbc9-44a8420c5800,Q64.100,膀胱外翻
38966,先天性髋关节脱位,7cc909ba-90a2-11e8-bbc9-44a8420c5800,Q65.200,先天性髋关节脱位
37065,腹腔妊娠,7cdd4373-90a2-11e8-bbc9-44a8420c5800,O00.000,腹腔妊娠
37279,新生儿惊厥,7cf31b32-90a2-11e8-bbc9-44a8420c5800,P90.x00,新生儿惊厥
2bfc7854-31e2-11e6-804e-848f69fd6b70,乳头溢液,7d061abe-90a2-11e8-bbc9-44a8420c5800,N64.504,乳头溢液
118786A186ADFC4AE0500A0AC86471F9,输卵管积水,7d07d9fa-90a2-11e8-bbc9-44a8420c5800,N70.103,输卵管积水
44267,子宫内膜炎,7d0a0db3-90a2-11e8-bbc9-44a8420c5800,N71.902,子宫内膜炎
44478,痛经,7d0f5358-90a2-11e8-bbc9-44a8420c5800,N94.600,痛经
41023,乳腺腺病,7d131eae-90a2-11e8-bbc9-44a8420c5800,N60.201,乳腺腺病
41541,急性肾小球肾炎,7d13fa67-90a2-11e8-bbc9-44a8420c5800,N00.902,急性肾小球肾炎
39724,输尿管损伤,7d1968f2-90a2-11e8-bbc9-44a8420c5800,S37.100,输尿管损伤
39635,急性肾盂肾炎,7d1bebb6-90a2-11e8-bbc9-44a8420c5800,N10.x02,急性肾盂肾炎
39583,膀胱输尿管反流,7d2047bd-90a2-11e8-bbc9-44a8420c5800,N13.701,膀胱输尿管反流
2ff504bf-31e2-11e6-804e-848f69fd6b70,子宫粘连,7d49fc58-90a2-11e8-bbc9-44a8420c5800,N73.604,子宫粘连
2ff504bf-31e2-11e6-804e-848f69fd6b70,子宫粘连,7d49fc58-90a2-11e8-bbc9-44a8420c5800,N73.604,子宫粘连
04d4a4e9-f8c5-4516-87b3-61a6b409ea7e,慢性前列腺炎,7d59e41c-90a2-11e8-bbc9-44a8420c5800,N41.100,慢性前列腺炎
41543,膜性肾病,7d5d72c3-90a2-11e8-bbc9-44a8420c5800,N02.202,膜性肾病
41549,IgA肾病,7d5fb0b5-90a2-11e8-bbc9-44a8420c5800,N02.801,IgA肾病
3106e415-31e2-11e6-804e-848f69fd6b70,急性阴道炎,7d6b7d89-90a2-11e8-bbc9-44a8420c5800,N76.000,急性阴道炎
38737,锁骨骨折,7d7d234e-90a2-11e8-bbc9-44a8420c5800,S42.000,锁骨骨折
42171,肋骨骨折,7d8197a1-90a2-11e8-bbc9-44a8420c5800,S22.300,肋骨骨折
37d5336c-31e2-11e6-804e-848f69fd6b70,卵巢扭转,7da28132-90a2-11e8-bbc9-44a8420c5800,N83.502,卵巢扭转
ae0dfcf0-ae22-11e5-9ee2-848f69fd6b70,卵巢破裂,7da3c854-90a2-11e8-bbc9-44a8420c5800,N83.805,卵巢破裂
44411,胸膜炎,7db3c284-90a2-11e8-bbc9-44a8420c5800,R09.100,胸膜炎
39485,急腹症,7db47376-90a2-11e8-bbc9-44a8420c5800,R10.000,急腹症
41655,多囊肾,7db919d7-90a2-11e8-bbc9-44a8420c5800,Q61.300,多囊肾
37062,输卵管妊娠,7dced5ad-90a2-11e8-bbc9-44a8420c5800,O00.100,输卵管妊娠
40941,甲状舌管囊肿,7ddac602-90a2-11e8-bbc9-44a8420c5800,Q89.202,甲状舌管囊肿
40844,直肠阴道瘘,7dff1abb-90a2-11e8-bbc9-44a8420c5800,N82.303,直肠阴道瘘
39646,腺性膀胱炎,7dff562a-90a2-11e8-bbc9-44a8420c5800,N30.809,腺性膀胱炎
178ce4ed-31e1-11e6-804e-848f69fd6b70,内痔,7e279acd-90a2-11e8-bbc9-44a8420c5800,I84.200,内痔
39681,肾错构瘤,7e32063f-90a2-11e8-bbc9-44a8420c5800,Q85.903,肾错构瘤
85fb4fdf-31e3-11e6-804e-848f69fd6b70,有机磷中毒,7e484d3c-90a2-11e8-bbc9-44a8420c5800,T60.001,有机磷中毒
38789,股骨颈骨折,7e4c2907-90a2-11e8-bbc9-44a8420c5800,S72.000,股骨颈骨折
38985,脊柱裂,7e669ac7-90a2-11e8-bbc9-44a8420c5800,Q05.900,脊柱裂
